Time,Cindy,Carmen,Marta,Marina,Kelly,Windy,f0,video_names,f
0.96 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,720,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,750,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1.04 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,780,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1.08 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,810,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1.12 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-561-236-236-122-122-86-86,377-211-108-46,,840,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1.16 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,870,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1.2 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,900,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1.24 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,930,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1.28 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,960,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1.32 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,990,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1.36 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1020,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1.4 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1050,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1.44 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1080,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1.48 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1110,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1.52 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1140,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1.56 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1170,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1.6 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1200,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1.64 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1230,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1.68 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1260,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1.72 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1290,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1.76 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1320,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1.8 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1350,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1.84 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1380,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1.88 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1410,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1.92 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1440,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
1.96 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1470,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1500,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2.04 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1530,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2.08 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1560,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2.12 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-561-236-236-122-122-86-86,377-211-108-46,,1590,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2.16 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1620,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2.2 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1650,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2.24 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1680,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2.28 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1710,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2.32 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1740,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2.36 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1770,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2.4 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1800,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2.44 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1830,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2.48 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1860,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2.52 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1890,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2.56 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1920,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2.6 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1950,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2.64 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,1980,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2.68 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2010,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2.72 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2040,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2.76 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2070,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2.8 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2100,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2.84 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2130,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2.88 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2160,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2.92 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2190,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
2.96 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2220,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-561-236-236-122-122-86-86,377-211-108-46,,2250,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3.04 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2280,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3.08 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2310,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3.12 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2340,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3.16 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2370,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3.2 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2400,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3.24 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2430,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3.28 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2460,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3.32 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2490,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3.36 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2520,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3.4 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2550,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3.44 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2580,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3.48 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2610,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3.52 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2640,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3.56 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2670,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3.6 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2700,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3.64 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2730,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3.68 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2760,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3.72 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2790,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3.76 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2820,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3.8 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2850,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3.84 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-561-236-236-122-122-86-86,377-211-108-46,,2880,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3.88 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2910,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3.92 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2940,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
3.96 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,2970,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3000,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4.04 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3030,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4.08 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3060,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4.12 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3090,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4.16 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3120,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4.2 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3150,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4.24 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3180,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4.28 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3210,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4.32 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3240,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4.36 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3270,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4.4 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3300,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4.44 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3330,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4.48 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3360,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4.52 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3390,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4.56 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3420,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4.6 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3450,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4.64 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3480,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4.68 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3510,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4.72 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3540,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4.76 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3570,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4.8 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3600,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4.84 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3630,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4.88 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3660,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4.92 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3690,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
4.96 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3720,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3750,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5.04 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3780,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5.08 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3810,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5.12 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3840,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5.16 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-561-236-236-122-122-86-86,377-211-108-46,,3870,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5.2 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3900,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5.24 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3930,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5.28 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3960,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5.32 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,3990,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5.36 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,4020,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5.4 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,4050,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5.44 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,4080,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5.48 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,4110,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5.52 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,4140,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5.56 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,4170,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5.6 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,4200,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5.64 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,4230,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5.68 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,4260,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5.72 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,4290,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5.76 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,4320,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5.8 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,4350,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5.84 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,4380,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5.88 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,4410,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5.92 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,4440,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
5.96 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,4470,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
6 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,4500,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
6.04 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,4530,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
6.08 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,4560,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
6.12 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,4590,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
6.16 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,4620,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
6.2 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,4650,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
6.24 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,4680,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
6.28 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-561-236-236-122-122-86-86,377-211-108-46,,4710,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
